Title,Finding,Result value,Expected Result,Name,Discussion
Authentication
Enforce Multifactor Authentication for Login,true,0,integer: 2,auth_pam_login_smartcard_enforce,The system _MUST_ be configured to enforce multifactor authentication.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/login will be automatically modified to its original state following any update or major upgrade to the operating system.
Allow Smartcard Authentication,true,null,string: true,auth_smartcard_allow,Smartcard authentication _MUST_ be allowed.The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.When enabled the smartcard can be used for login authorization and screen saver unlocking.
Enforce Multifactor Authentication for Privilege Escalation Through the sudo Command,true,1,integer: 2,auth_pam_sudo_smartcard_enforce,The system _MUST_ be configured to enforce multifactor authentication when the sudo command is used to elevate privilege.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/sudo will be automatically modified to its original state following any update or major upgrade to the operating system.
Enforce Smartcard Authentication,true,null,string: true,auth_smartcard_enforce,Smartcard authentication _MUST_ be enforced.The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.When enforceSmartCard is set to "true" the smartcard must be used for login authorization and unlocking the screensaver.CAUTION: enforceSmartCard will apply to the whole system. No users will be able to login with their password unless the profile is removed or a user is exempt from smartcard enforcement.NOTE: enforceSmartcard requires allowSmartcard to be set to true in order to work.
Enforce Multifactor Authentication for the su Command,true,0,integer: 2,auth_pam_su_smartcard_enforce,The system _MUST_ be configured such that when the su command is used multifactor authentication is enforced.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/su will be automatically modified to its original state following any update or major upgrade to the operating system.
Disable Password Authentication for SSH,true,0,integer: 2,auth_ssh_password_authentication_disable,If remote login through SSH is enabled password based authentication _MUST_ be disabled for user login.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.NOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.
Password Policy
Disable Accounts after $ODV Days of Inactivity,true,null,integer: 35,pwpolicy_account_inactivity_enforce,The macOS _MUST_ be configured to disable accounts after $ODV days of inactivity.This rule prevents malicious users from making use of unused accounts to gain access to the system while avoiding detection.
Prohibit Password Reuse for a Minimum of $ODV Generations,true,null,string: pass,pwpolicy_history_enforce,The macOS _MUST_ be configured to enforce a password history of at least $ODV previous passwords when a password is created.This rule ensures that users are  not allowed to reuse a password that was used in any of the $ODV previous password generations.Limiting password reuse protects against malicious users attempting to gain access to the system via brute-force hacking methods.NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.
Limit Consecutive Failed Login Attempts to $ODV,true,null,string: pass,pwpolicy_account_lockout_enforce,The macOS _MUST_ be configured to limit the number of failed login attempts to a maximum of $ODV. When the maximum number of failed attempts is reached the account _MUST_ be locked for a period of time after.This rule protects against malicious users attempting to gain access to the system via brute-force hacking methods.
Prohibit Repeating, Ascending, and Descending Character Sequences,true,0,integer: 1,pwpolicy_simple_sequence_disable,The macOS _MUST_ be configured to prohibit the use of repeating ascending and descending character sequences when a password is created.This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.NOTE: To comply with Executive Order 14028 “Improving the Nation's Cybersecurity” OMB M-22-09 “Moving the U.S. Government Toward Zero Trust Cybersecurity Principles” and NIST SP-800-63b “Digital Identity Guidelines: Authentication and Lifecycle Management” federal military and intelligence communities must adopt the following configuration settings. Password policies must not require the use of complexity policies such as upper characters lower characters or special characters. Password policies must also not require the use of regular rotation. Password policies should define a minimum length. Multifactor authentication should be used where ever possible.NOTE: pwpolicy_simple_sequence_disable prevents use of passwords which are regularly found in compromised password lists.
Set Account Lockout Time to $ODV Minutes,true,null,string: pass,pwpolicy_account_lockout_timeout_enforce,The macOS _MUST_ be configured to enforce a lockout time period of at least $ODV minutes when the maximum number of failed logon attempts is reached.This rule protects against malicious users attempting to gain access to the system via brute-force hacking methods.
Require a Minimum Password Length of $ODV Characters,true,fail,string: pass,pwpolicy_minimum_length_enforce,The macOS _MUST_ be configured to require a minimum of $ODV characters be used when a password is created.This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.NOTE: To comply with Executive Order 14028 “Improving the Nation's Cybersecurity” OMB M-22-09 “Moving the U.S. Government Toward Zero Trust Cybersecurity Principles” and NIST SP-800-63b “Digital Identity Guidelines: Authentication and Lifecycle Management” federal military and intelligence communities must adopt the following configuration settings. Password policies must not require the use of complexity policies such as upper characters lower characters or special characters. Password policies must also not require the use of regular rotation. Password policies should define a minimum length. Multifactor authentication should be used where ever possible.
iCloud
Disable iCloud Photo Library,true,null,string: false,icloud_photos_disable,The macOS built-in Photos.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated photo synchronization _MUST_ be controlled by an organization approved service.
Disable the System Setting for Apple ID,true,0,integer: 1,icloud_appleid_system_settings_disable,The system setting for Apple ID _MUST_ be disabled.Disabling the system setting prevents login to Apple ID and iCloud.
Disable iCloud Reminders,true,null,string: false,icloud_reminders_disable,The macOS built-in Reminders.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated reminders synchronization _MUST_ be controlled by an organization approved service.
Disable the iCloud Freeform Services,true,null,string: false,icloud_freeform_disable,The macOS built-in Freeform.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated calendar synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Desktop and Document Folder Sync,true,null,string: false,icloud_sync_disable,The macOS system's ability to automatically synchronize a user's desktop and documents folder to their iCloud Drive _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated file synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Game Center,true,null,string: false,icloud_game_center_disable,This works only with supervised devices (MDM) and allows to disable Apple Game Center. The rationale is Game Center is using Apple ID and will shared data on AppleID based services therefore Game Center _MUST_ be disabled.This setting also prohibits functionality of adding friends to Game Center.
Disable iCloud Keychain Sync,true,null,string: false,icloud_keychain_disable,The macOS system's ability to automatically synchronize a user's passwords to their iCloud account _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore password management and synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Notes,true,null,string: false,icloud_notes_disable,The macOS built-in Notes.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated Notes synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Private Relay,true,null,string: false,icloud_private_relay_disable,Enterprise networks may be required to audit all network traffic by policy therefore iCloud Private Relay _MUST_ be disabled.Network administrators can also prevent the use of this feature by blocking DNS resolution of mask.icloud.com and mask-h2.icloud.com.
Disable iCloud Document Sync,true,null,string: false,icloud_drive_disable,The macOS built-in iCloud document synchronization service _MUST_ be disabled to prevent organizational data from being synchronized to personal or non-approved storage.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated document synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Bookmarks,true,null,string: false,icloud_bookmarks_disable,The macOS built-in Safari.app bookmark synchronization via the iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated bookmark synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Mail,true,null,string: false,icloud_mail_disable,The macOS built-in Mail.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated mail synchronization _MUST_ be controlled by an organization approved service.
Disable the iCloud Calendar Services,true,null,string: false,icloud_calendar_disable,The macOS built-in Calendar.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated calendar synchronization _MUST_ be controlled by an organization approved service.
Disable iCloud Address Book,true,null,string: false,icloud_addressbook_disable,The macOS built-in Contacts.app connection to Apple's iCloud service _MUST_ be disabled.Apple's iCloud service does not provide an organization with enough control over the storage and access of data and therefore automated contact synchronization _MUST_ be controlled by an organization approved service.
System Settings
Disable the Internet Accounts System Preference Pane,true,0,integer: 1,system_settings_internet_accounts_disable,The Internet Accounts System Setting _MUST_ be disabled to prevent the addition of unauthorized internet accounts.[IMPORTANT]====Some organizations may allow the use and configuration of the built-in Mail.app Calendar.app and Contacts.app for organizational communication. Information System Security Officers (ISSOs) may make the risk-based decision not to disable the Internet Accounts System Preference pane to avoid losing this functionality but they are advised to first fully weigh the potential risks posed to their organization.====
Enforce Session Lock After Screen Saver is Started,true,false,string: true,system_settings_screensaver_ask_for_password_delay_enforce,A screen saver _MUST_ be enabled and the system _MUST_ be configured to require a password to unlock once the screensaver has been on for a maximum of $ODV seconds.An unattended system with an excessive grace period is vulnerable to a malicious user.
Disable Guest Access to Shared SMB Folders,true,null,boolean: 0,system_settings_guest_access_smb_disable,Guest access to shared Server Message Block (SMB) folders _MUST_ be disabled.Turning off guest access prevents anonymous users from accessing files shared via SMB.
Require Administrator Password to Modify System-Wide Preferences,true,0,integer: 1,system_settings_system_wide_preferences_configure,The system _MUST_ be configured to require an administrator password in order to modify the system-wide preferences in System Settings.Some Preference Panes in System Settings contain settings that affect the entire system. Requiring a password to unlock these system-wide settings reduces the risk of a non-authorized user modifying system configurations.
Disable Improve Search Information to Apple,true,null,integer: 2,system_settings_improve_search_disable,Sending data to Apple to help improve search _MUST_ be disabled. This will disable "Improve Search" within Spotlight in System Settings.The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of search data will mitigate the risk of unwanted data being sent to Apple.
Disable the Guest Account,true,false,string: true,system_settings_guest_account_disable,Guest access _MUST_ be disabled.Turning off guest access prevents anonymous users from accessing files.
Disable Personalized Advertising,true,null,string: false,system_settings_personalized_advertising_disable,Ad tracking and targeted ads _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling ad tracking ensures that applications and advertisers are unable to track users' interests and deliver targeted advertisements.
Disable Bluetooth When no Approved Device is Connected,true,null,string: true,system_settings_bluetooth_disable,The macOS system _MUST_ be configured to disable Bluetooth unless there is an approved device connected.[IMPORTANT]====Information System Security Officers (ISSOs) may make the risk-based decision not to disable Bluetooth so as to maintain necessary functionality but they are advised to first fully weigh the potential risks posed to their organization.====
Configure Login Window to Prompt for Username and Password,true,null,string: true,system_settings_loginwindow_prompt_username_password_enforce,The login window _MUST_ be configured to prompt all users for both a username and a password.By default the system displays a list of known users on the login window which can make it easier for a malicious user to gain access to someone else's account. Requiring users to type in both their username and password mitigates the risk of unauthorized users gaining access to the information system.
Prevent Apple Watch from Terminating a Session Lock,true,null,string: false,system_settings_apple_watch_unlock_disable,Apple Watches are not an approved authenticator and their use _MUST_ be disabled.Disabling Apple watches is a necessary step to ensuring that the information system retains a session lock until the user reestablishes access using an authorized identification and authentication procedures.NOTE: Unlocking the system with an Apple Watch is not an approved authenticator for US Federal Government usage as it has not been verified to meet the strength requirements outlined in NIST SP 800-63.
Disable Server Message Block Sharing,true,0,integer: 1,system_settings_smbd_disable,Support for Server Message Block (SMB) file sharing is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities.
Enforce Screen Saver Timeout,true,false,string: true,system_settings_screensaver_timeout_enforce,The screen saver timeout _MUST_ be set to $ODV seconds or a shorter length of time.This rule ensures that a full session lock is triggered within no more than $ODV seconds of inactivity.
Enforce Auto Logout After $ODV Seconds of Inactivity,true,null,integer: 86400,system_settings_automatic_logout_enforce,Auto logout _MUST_ be configured to automatically terminate a user session and log out the after $ODV seconds of inactivity.NOTE:The maximum that macOS can be configured for autologoff is $ODV seconds.[IMPORTANT]====The automatic logout may cause disruptions to an organization's workflow and/or loss of data. Information System Security Officers (ISSOs) are advised to first fully weigh the potential risks posed to their organization before opting to disable the automatic logout setting.====
Disable Password Hints,true,null,integer: 0,system_settings_password_hints_disable,Password hints _MUST_ be disabled.Password hints leak information about passwords that are currently in use and can lead to loss of confidentiality.
Disable Screen Sharing and Apple Remote Desktop,true,0,integer: 1,system_settings_screen_sharing_disable,Support for both Screen Sharing and Apple Remote Desktop (ARD) is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling screen sharing and ARD helps prevent the unauthorized connection of devices the unauthorized transfer of information and unauthorized tunneling.
Disable TouchID for Unlocking the Device,true,null,string: false,system_settings_touchid_unlock_disable,TouchID enables the ability to unlock a Mac system with a user's fingerprint.TouchID _MUST_ be disabled for "Unlocking your Mac" on all macOS devices that are capable of using Touch ID.The system _MUST_ remain locked until the user establishes access using an authorized identification and authentication method.NOTE: TouchID is not an approved biometric authenticator for US Federal Government usage as it has not been verified to meet the strength requirements outlined in NIST SP 800-63.
Disable External Intelligence Integrations,true,null,string: false,system_settings_external_intelligence_disable,Integration with external intelligence systems _MUST_ be disabled unless approved by the organization. Disabling external intelligence integration will mitigate the risk of data being sent to unapproved third party.The information system _MUST_ be configured to provide only essential capabilities.
Disable Internet Sharing,true,null,string: true,system_settings_internet_sharing_disable,If the system does not require Internet sharing support for it is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling Internet sharing helps prevent the unauthorized connection of devices unauthorized transfer of information and unauthorized tunneling.
Enforce FileVault,true,0,integer: 1,system_settings_filevault_enforce,FileVault _MUST_ be enforced.The information system implements cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.NOTE: See the FileVault supplemental to implement this rule.
Configure Gatekeeper to Disallow End User Override,true,null,string: true,system_settings_gatekeeper_override_disallow,Gatekeeper _MUST_ be configured with a configuration profile to prevent normal users from overriding its settings.If users are allowed to disable Gatekeeper or set it to a less restrictive setting malware could be introduced into the system.
Disable SSH Server for Remote Access Sessions,true,0,integer: 1,system_settings_ssh_disable,SSH service _MUST_ be disabled for remote access.
Disable Siri,true,null,string: false,system_settings_siri_disable,Support for Siri is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities.
Disable Content Caching Service,true,null,string: false,system_settings_content_caching_disable,Content caching _MUST_ be disabled.Content caching is a macOS service that helps reduce Internet data usage and speed up software installation on Mac computers. It is not recommended for devices furnished to employees to act as a caching server.
Enable SSH Server for Remote Access Sessions,true,0,integer: 1,system_settings_ssh_enable,Remote access sessions _MUST_ use encrypted methods to protect unauthorized individuals from gaining access.
Apply Gatekeeper Settings to Block Applications from Unidentified Developers,true,false,string: true,system_settings_gatekeeper_identified_developers_allowed,The information system implements cryptographic mechanisms to authenticate software prior to installation.Gatekeeper settings must be configured correctly to only allow the system to run applications downloaded from the Mac App Store or applications signed with a valid Apple Developer ID code. Administrator users will still have the option to override these settings on a per-app basis. Gatekeeper is a security feature that ensures that applications must be digitally signed by an Apple-issued certificate in order to run. Digital signatures allow the macOS to verify that the application has not been modified by a malicious third party.
Enforce Screen Saver Password,true,null,string: true,system_settings_screensaver_password_enforce,Users _MUST_ authenticate when unlocking the screen saver.The screen saver acts as a session lock and prevents unauthorized users from accessing the current user's account.
Enable macOS Application Firewall,true,null,string: true,system_settings_firewall_enable,The macOS Application Firewall is the built-in firewall that comes with macOS and it _MUST_ be enabled.When the macOS Application Firewall is enabled the flow of information within the information system and between interconnected systems will be controlled by approved authorizations.
Disable Find My Service,true,false,string: true,system_settings_find_my_disable,The Find My service _MUST_ be disabled.A Mobile Device Management (MDM) solution _MUST_ be used to carry out remote locking and wiping instead of Apple's Find My service.Apple's Find My service uses a personal AppleID for authentication. Organizations should rely on MDM solutions which have much more secure authentication requirements to perform remote lock and remote wipe.
Disable Hot Corners,true,0,integer: 4,system_settings_hot_corners_disable,Hot corners _MUST_ be disabled.The information system conceals via the session lock information previously visible on the display with a publicly viewable image. Although hot comers can be used to initiate a session lock or to launch useful applications they can also be configured to disable an automatic session lock from initiating. Such a configuration introduces the risk that a user might forget to manually lock the screen before stepping away from the computer.
Disable Sending Diagnostic and Usage Data to Apple,true,false,string: true,system_settings_diagnostics_reports_disable,The ability to submit diagnostic data to Apple _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of diagnostic and usage information will mitigate the risk of unwanted data being sent to Apple.
Disable Bluetooth Sharing,true,null,boolean: 0,system_settings_bluetooth_sharing_disable,Bluetooth Sharing _MUST_ be disabled.Bluetooth Sharing allows users to wirelessly transmit files between the macOS and Bluetooth-enabled devices including personally owned cellphones and tablets. A malicious user might introduce viruses or malware onto the system or extract sensitive files via Bluetooth Sharing. When Bluetooth Sharing is disabled this risk is mitigated.[NOTE]====The check and fix are for the last logged in user. To get the last logged in user run the following.[sourcebash]----CURRENT_USER=$( /usr/bin/defaults read /Library/Preferences/com.apple.loginwindow lastUserName )----====
Disable Unattended or Automatic Logon to the System,true,null,string: true,system_settings_automatic_login_disable,Automatic logon _MUST_ be disabled.When automatic logons are enabled the default user account is automatically logged on at boot time without prompting the user for a password. Even if the screen is later locked a malicious user would be able to reboot the computer and find it already logged in. Disabling automatic logons mitigates this risk.
Disable Improve Siri and Dictation Information to Apple,true,null,integer: 2,system_settings_improve_siri_dictation_disable,The ability for Apple to store and review audio of your Siri and Dictation interactions _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of Siri and Dictation information will mitigate the risk of unwanted data being sent to Apple.
Disable External Intelligence Integration Sign In,true,null,string: false,system_settings_external_intelligence_sign_in_disable,The ability to sign into an external intelligence systems _MUST_ be disabled unless approved by the organization. Disabling external intelligence integration will mitigate the risk of data being sent to unapproved third party.The information system _MUST_ be configured to provide only essential capabilities.
Disable Location Services,false,false,string: false,system_settings_location_services_disable,Location Services _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities.  Disabling Location Services helps prevent the unauthorized connection of devices unauthorized transfer of information and unauthorized tunneling.
Configure macOS to Use an Authorized Time Server,true,null,string: time.nist.gov,system_settings_time_server_configure,Approved time server _MUST_ be the only server configured for use. As of macOS 10.13 only one time server is supported.This rule ensures the uniformity of time stamps for information systems with multiple system clocks and systems connected over a network.
Enforce macOS Time Synchronization,true,null,string: true,system_settings_time_server_enforce,Time synchronization _MUST_ be enforced on all networked systems.This rule ensures the uniformity of time stamps for information systems with multiple system clocks and systems connected over a network.
Disable Sending Audio Recordings and Transcripts to Apple,true,null,string: false,system_settings_improve_assistive_voice_disable,The ability for Apple to store and review audio of your audio recordings and transcripts of your vocal shortcuts and voice control interactions _MUST_ be disabled. This will disable "Improve Assistive Voice Features" in Privacy & Security within System Settings.The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of this information will mitigate the risk of unwanted data being sent to Apple.
Configure User Session Lock When a Smart Token is Removed,true,null,integer: 1,system_settings_token_removal_enforce,The screen lock _MUST_ be configured to initiate automatically when the smart token is removed from the system.Session locks are temporary actions taken when users stop work and move away from the immediate vicinity of the information system but do not want to log out because of the temporary nature of their absences. While a session lock is not an acceptable substitute for logging out of an information system for longer periods of time they prevent a malicious user from accessing the information system when a user has removed their smart token.[IMPORTANT]====Information System Security Officers (ISSOs) may make the risk-based decision not to enforce a session lock when a smart token is removed so as to maintain necessary workflow capabilities but they are advised to first fully weigh the potential risks posed to their organization.====
Disable Media Sharing,true,false,string: true,system_settings_media_sharing_disabled,Media sharing _MUST_ be disabled.When Media Sharing is enabled the computer starts a network listening service that shares the contents of the user's music collection with other users in the same subnet.The information system _MUST_ be configured to provide only essential capabilities. Disabling Media Sharing helps prevent the unauthorized connection of devices and the unauthorized transfer of information. Disabling Media Sharing mitigates this risk.
Enable Firewall Stealth Mode,true,null,string: true,system_settings_firewall_stealth_mode_enable,Firewall Stealth Mode _MUST_ be enabled.When stealth mode is enabled the Mac will not respond to any probing requests and only requests from authorized applications will still be authorized.[IMPORTANT]====Enabling firewall stealth mode may prevent certain remote mechanisms used for maintenance and compliance scanning from properly functioning. Information System Security Officers (ISSOs) are advised to first fully weigh the potential risks posed to their organization before opting not to enable stealth mode.====
Disable Remote Apple Events,true,0,integer: 1,system_settings_rae_disable,If the system does not require Remote Apple Events support for Apple Remote Events is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling Remote Apple Events helps prevent the unauthorized connection of devices the unauthorized transfer of information and unauthorized tunneling.
Auditing
Configure Audit Log Folders Group to Wheel,false,0,integer: 0,audit_folder_group_configure,Audit log files _MUST_ have the group set to wheel.The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs.Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators the risk is mitigated.
Configure System to Shut Down Upon Audit Failure,true,0,integer: 1,audit_failure_halt,The audit service _MUST_ be configured to shut down the computer if it is unable to audit system events.Once audit failure occurs user and system activity are no longer recorded and malicious activity could go undetected. Audit processing failures can occur due to software/hardware errors failures in the audit capturing mechanisms and audit storage capacity being reached or exceeded.
Configure System to Audit All Failed Change of Object Attributes,true,0,integer: 1,audit_flags_fm_failed_configure,The audit system _MUST_ be configured to record enforcement actions of failed attempts to modify file attributes (-fm).Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e. denying modifications to a file by applying file permissions).This configuration ensures that audit lists include events in which enforcement actions prevent attempts to modify a file.Without auditing the enforcement of access restrictions it is difficult to identify attempted attacks as there is no audit trail available for forensic investigation.
Configure Audit Log Folder to Not Contain Access Control Lists,false,0,integer: 0,audit_acls_folders_configure,The audit log folder _MUST_ not contain access control lists (ACLs).Audit logs contain sensitive data about the system and users. This rule ensures that the audit service is configured to create log folders that are readable and writable only by system administrators in order to prevent normal users from reading audit logs.
Enable Security Auditing,true,fail,string: pass,audit_auditd_enabled,The information system _MUST_ be configured to generate audit records.Audit records establish what types of events have occurred when they occurred and which users were involved. These records aid an organization in their efforts to establish correlate and investigate the events leading up to an outage or attack.The content required to be captured in an audit record varies based on the impact level of an organization's system. Content that may be necessary to satisfy this requirement includes for example time stamps source addresses destination addresses user identifiers event descriptions success/fail indications filenames involved and access or flow control rules invoked.The information system initiates session audits at system start-up.NOTE: Security auditing is NOT enabled by default on macOS Sequoia.
