Title,Finding,Result value,Expected Result,Name,Discussion
Configure System to Audit All Administrative Action Events,true,0,integer: 1,audit_flags_ad_configure,The auditing system _MUST_ be configured to flag administrative action (ad) events.Administrative action events include changes made to the system (e.g. modifying authentication policies). If audit records do not include ad events it is difficult to identify incidents and to correlate incidents to subsequent events.Audit records can be generated from various components within the information system (e.g. via a module or policy filter).The information system audits the execution of privileged functions.NOTE: We recommend changing the line "43127:AUE_MAC_SYSCALL:mac_syscall(2):ad" to "43127:AUE_MAC_SYSCALL:mac_syscall(2):zz" in the file /etc/security/audit_event. This will prevent sandbox violations from being audited by the ad flag.
Configure System to Audit All Failed Program Execution on the System,true,0,integer: 1,audit_flags_ex_configure,The audit system _MUST_ be configured to record enforcement actions of access restrictions including failed program execute (-ex) attempts.Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using program execution restrictions (e.g. denying users access to execute certain processes).This configuration ensures that audit lists include events in which program execution has failed.Without auditing the enforcement of program execution it is difficult to identify attempted attacks as there is no audit trail available for forensic investigation.
Configure Audit Log Files to Mode 440 or Less Permissive,true,21,integer: 0,audit_files_mode_configure,The audit service _MUST_ be configured to create log files that are readable only by the root user and group wheel. To achieve this audit log files _MUST_ be configured to mode 440 or less permissive; thereby preventing normal users from reading modifying or deleting audit logs.
Configure System to Audit All Authorization and Authentication Events,true,0,integer: 1,audit_flags_aa_configure,The auditing system _MUST_ be configured to flag authorization and authentication (aa) events.Authentication events contain information about the identity of a user server or client. Authorization events contain information about permissions rights and rules. If audit records do not include aa events it is difficult to identify incidents and to correlate incidents to subsequent events.Audit records can be generated from various components within the information system (e.g. via a module or policy filter).
Configure Audit Log Files to be Owned by Root,false,0,integer: 0,audit_files_owner_configure,Audit log files _MUST_ be owned by root.The audit service _MUST_ be configured to create log files with the correct ownership to prevent normal users from reading audit logs.Audit logs contain sensitive data about the system and users. If log files are set to only be readable and writable by system administrators the risk is mitigated.
Configure Audit Retention to $ODV,true,null,string: 7d,audit_retention_configure,The audit service _MUST_ be configured to require records be kept for a organizational defined value before deletion unless the system uses a central audit record storage facility.When "expire-after" is set to "$ODV" the audit service will not delete audit logs until the log data criteria is met.
Configure System to Audit All Failed Read Actions on the System,true,0,integer: 1,audit_flags_fr_configure,The audit system _MUST_ be configured to record enforcement actions of access restrictions including failed file read (-fr) attempts.Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g. denying access to a file by applying file permissions).This configuration ensures that audit lists include events in which enforcement actions prevent attempts to read a file.Without auditing the enforcement of access restrictions it is difficult to identify attempted attacks as there is no audit trail available for forensic investigation.
Configure Audit Failure Notification,true,0,integer: 1,audit_settings_failure_notify,The audit service _MUST_ be configured to immediately print messages to the console or email administrator users when an auditing failure occurs.It is critical for the appropriate personnel to be made aware immediately if a system is at risk of failing to process audit logs as required. Without a real-time alert security personnel may be unaware of a potentially harmful failure in the auditing system's capability and system operation may be adversely affected.
Configure Audit Log Folders to be Owned by Root,false,0,integer: 0,audit_folder_owner_configure,Audit log folders _MUST_ be owned by root.The audit service _MUST_ be configured to create log folders with the correct ownership to prevent normal users from reading audit logs.Audit logs contain sensitive data about the system and users. If log folders are set to only be readable and writable by system administrators the risk is mitigated.
Configure System to Audit All Log In and Log Out Events,true,0,integer: 1,audit_flags_lo_configure,The audit system _MUST_ be configured to record all attempts to log in and out of the system (lo).Frequently an attacker that successfully gains access to a system has only gained access to an account with limited privileges such as a guest account or a service account. The attacker must attempt to change to another user account with normal or elevated privileges in order to proceed. Auditing both successful and unsuccessful attempts to switch to another user account (by way of monitoring login and logout events) mitigates this risk.The information system monitors login and logout events.
Configure System to Audit All Failed Write Actions on the System,true,0,integer: 1,audit_flags_fw_configure,The audit system _MUST_ be configured to record enforcement actions of access restrictions including failed file write (-fw) attempts.Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g. denying users access to edit a file by applying file permissions).This configuration ensures that audit lists include events in which enforcement actions prevent attempts to change a file.Without auditing the enforcement of access restrictions it is difficult to identify attempted attacks as there is no audit trail available for forensic investigation.
Configure Audit Log Folders to Mode 700 or Less Permissive,true,666,integer: 700,audit_folders_mode_configure,The audit log folder _MUST_ be configured to mode 700 or less permissive so that only the root user is able to read write and execute changes to folders.Because audit logs contain sensitive data about the system and users the audit service _MUST_ be configured to mode 700 or less permissive; thereby preventing normal users from reading modifying or deleting audit logs.
Configure Audit Log Files Group to Wheel,true,320,integer: 0,audit_files_group_configure,Audit log files _MUST_ have the group set to wheel.The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs.Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators the risk is mitigated.
Configure Audit Log Files to Not Contain Access Control Lists,false,0,integer: 0,audit_acls_files_configure,The audit log files _MUST_ not contain access control lists (ACLs).This rule ensures that audit information and audit files are configured to be readable and writable only by system administrators thereby preventing unauthorized access modification and deletion of files.
macOS
Configure SSHD Unused Connection Timeout to $ODV,true,none,integer: 900,os_sshd_unused_connection_timeout_configure,If SSHD is enabled it _MUST_ be configured with unused connection timeout set to $ODV.This will set the time out when there are no open channels within an session.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Control Connections to Other Systems via a Deny-All and Allow-by-Exception Firewall Policy,true,0,integer: 1,os_firewall_default_deny_require,A deny-all and allow-by-exception firewall policy _MUST_ be employed for managing connections to other systems.Organizations _MUST_ ensure the built-in packet filter firewall is configured correctly to employ the default deny rule.Failure to restrict network connectivity to authorized systems permits inbound connections from malicious systems. It also permits outbound connections that may facilitate the exfiltration of data.If you are using a third-party firewall solution this setting does not apply.[IMPORTANT]====Configuring the built-in packet filter firewall to employ the default deny rule has the potential to interfere with applications on the system in an unpredictable manner. Information System Security Officers (ISSOs) may make the risk-based decision not to configure the built-in packet filter firewall to employ the default deny rule to avoid losing functionality but they are advised to first fully weigh the potential risks posed to their organization.====
Limit SSHD to FIPS Compliant Connections,true,3,integer: 7,os_sshd_fips_compliant,If SSHD is enabled then it _MUST_ be configured to limit the Ciphers HostbasedAcceptedAlgorithms HostKeyAlgorithms KexAlgorithms MACs PubkeyAcceptedAlgorithms CASignatureAlgorithms to algorithms that are FIPS 140 validated.FIPS 140-3 is the current standard for validating that mechanisms used to access cryptographic modules utilize authentication that meet federal requirements.Operating systems utilizing encryption _MUST_ use FIPS validated mechanisms for authenticating to cryptographic modules.NOTE: For more information on FIPS compliance with the version of SSHD included in the macOS the manual page apple_ssh_and_fips has additional information.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Enable Firmware Password,false,null,string: true,os_firmware_password_require,A firmware password _MUST_ be enabled and set.Single user mode recovery mode the Startup Manager and several other tools are available on macOS by holding the "Option" key down during startup. Setting a firmware password restricts access to these tools.To set a firmware passcode use the following command:[sourcebash]----/usr/sbin/firmwarepasswd -setpasswd----NOTE: If firmware password or passcode is forgotten the only way to reset the forgotten password is through the use of a machine specific binary generated and provided by Apple. Schedule a support call and provide proof of purchase before the firmware binary will be generated.NOTE: Firmware passwords are not supported on Apple Silicon devices. This rule is only applicable to Intel devices.
Disable Photos Enhanced Visual Search,true,null,string: false,os_photos_enhanced_search_disable,Enhanced Visualed Search _MUST_ be disabled in the Photos app.The information system _MUST_ be configured to provide only essential capabilities. Disabling Enhanced Visual Search will mitigate the risk of unwanted data being sent to Apple.
Disable Root Login,true,0,integer: 1,os_root_disable,To assure individual accountability and prevent unauthorized access logging in as root at the login window _MUST_ be disabled.The macOS system _MUST_ require individuals to be authenticated with an individual authenticator prior to using a group authenticator and administrator users _MUST_ never log in directly as root.
Enforce SSH to Display Policy Banner,true,0,integer: 1,os_policy_banner_ssh_enforce,SSH _MUST_ be configured to display a policy banner.Displaying a standardized and approved use notification before granting access to the operating system ensures that users are provided with privacy and security notification verbiage that is consistent with applicable federal laws Executive Orders directives policies regulations standards and guidance.System use notifications are required only for access via login interfaces with human users and are not required when such human interfaces do not existNOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.
Disable Proximity Based Password Sharing Requests,true,null,string: false,os_password_proximity_disable,Proximity based password sharing requests _MUST_ be disabled.The default behavior of macOS is to allow users to request passwords from other known devices (macOS and iOS). This feature _MUST_ be disabled to prevent passwords from being shared.
Disable Apple Intelligence Notes Transcription,true,null,string: false,os_notes_transcription_disable,Apple Intelligence features such as Notes Transcription that use off device AI _MUST_ be disabled.
Enforce Enrollment in Mobile Device Management,true,0,integer: 1,os_mdm_require,You _MUST_ enroll your Mac in a Mobile Device Management (MDM) software.User Approved MDM (UAMDM) enrollment or enrollment via Apple Business Manager (ABM)/Apple School Manager (ASM) is required to manage certain security settings. Currently these include:* Allowed Kernel Extensions* Allowed Approved System Extensions* Privacy Preferences Policy Control Payload* ExtensibleSingleSignOn* FDEFileVaultIn macOS 11 UAMDM grants Supervised status on a Mac unlocking the following MDM features which were previously locked behind ABM:* Activation Lock Bypass* Access to Bootstrap Tokens* Scheduling Software Updates* Query list and delete local users
Enforce Screen Saver at Login Window,true,null,string: Sequoia,os_screensaver_loginwindow_enforce,A default screen saver _MUST_ be configured to display at the login window and _MUST_ not display any sensitive information.
Disable Apple Intelligence Mail Smart Replies,true,null,string: false,os_mail_smart_reply_disable,Apple Intelligence features such as Mail Smart Replies that use off device AI _MUST_ be disabled.
Disable Handoff,true,null,string: false,os_handoff_disable,Handoff _MUST_ be disabled.Handoff allows you to continue working on a document or project when the user switches from one Apple device to another. Disabling Handoff prevents data transfers to unauthorized devices.
Disable iPhone Mirroring,true,null,string: false,os_iphone_mirroring_disable,iPhone Mirroing _MUST_ be disabled to prevent file transfers to or from unauthorized devices. Disabling iPhone Mirroring also prevents potentially unauthorized applications from appearing as if they are installed on the Mac.
Prevent AdminHostInfo from Being Available at LoginWindow,false,false,string: false,os_loginwindow_adminhostinfo_undefined,The system _MUST_ be configured to not display sensitive information at the LoginWindow. The key AdminHostInfo when configured will allow the HostName IP Address and operating system version and build to be displayed.
Configure SSH ServerAliveInterval option set to $ODV,true,fail,string: pass,os_ssh_server_alive_interval_configure,SSH _MUST_ be configured with an Active Server Alive Maximum Count set to $ODV.Setting the Active Server Alive Maximum Count to $ODV will log users out after a $ODV seconds interval of inactivity.NOTE: /etc/ssh/ssh_config will be automatically modified to its original state following any update or major upgrade to the operating system.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Disable Apple Intelligence Mail Summary,true,null,string: false,os_mail_summary_disable,Apple Intelligence features such as Apple Mail Summary that use off device AI _MUST_ be disabled.
Limit SSH to FIPS Compliant Connections,true,fail,string: pass,os_ssh_fips_compliant,SSH _MUST_ be configured to limit the Ciphers HostbasedAcceptedAlgorithms HostKeyAlgorithms KexAlgorithms MACs PubkeyAcceptedAlgorithms CASignatureAlgorithms to algorithms that are FIPS 140 validated.FIPS 140-3 is the current standard for validating that mechanisms used to access cryptographic modules utilize authentication that meet federal requirements.Operating systems utilizing encryption _MUST_ use FIPS validated mechanisms for authenticating to cryptographic modules.NOTE: For more information on FIPS compliance with the version of SSH included in the macOS the manual page apple_ssh_and_fips has additional information.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Enforce Rapid Security Response Mechanism,true,null,string: true,os_rapid_security_response_allow,Rapid security response mechanism _MUST_ be enabled.
Disable AI Image Generation,true,null,string: false,os_image_generation_disable,Apple Intelligence features that use off device AI _MUST_ be disabled.
Disable Trivial File Transfer Protocol Service,true,0,integer: 1,os_tftpd_disable,If the system does not require Trivial File Transfer Protocol (TFTP) support it is non-essential and _MUST_ be disabled.The information system _MUST_ be configured to provide only essential capabilities. Disabling TFTP helps prevent the unauthorized connection of devices and the unauthorized transfer of information.NOTE: TFTP service is disabled at startup by default macOS.
Configure SSHD ClientAliveInterval to $ODV,true,0,integer: 900,os_sshd_client_alive_interval_configure,If SSHD is enabled then it _MUST_ be configured with the Client Alive Interval set to $ODV.Sets a timeout interval in seconds after which if no data has been received from the client sshd(8) will send a message through the encrypted channel to request a response from the client.This setting works in conjunction with ClientAliveCountMax to determine the termination of the connection after the threshold has been reached.NOTE: This setting is not intended to manage idle user sessions where there is no input from the client. Its purpose is to monitor for interruptions in network connectivity and force the session to terminate after the connection appears to be broken.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Disable Password Sharing,true,null,string: false,os_password_sharing_disable,Password Sharing _MUST_ be disabled.The default behavior of macOS is to allow users to share a password over Airdrop between other macOS and iOS devices. This feature _MUST_ be disabled to prevent passwords from being shared.
Disable Apple Intelligence Notes Transcription Summary,true,null,string: false,os_notes_transcription_summary_disable,Apple Intelligence features such as Notes Transcription Summary that use off device AI _MUST_ be disabled.
Enable Authenticated Root,false,1,integer: 1,os_authenticated_root_enable,Authenticated Root _MUST_ be enabled.When Authenticated Root is enabled the macOS is booted from a signed volume that is cryptographically protected to prevent tampering with the system volume.NOTE: Authenticated Root is enabled by default on macOS systems.WARNING: If more than one partition with macOS is detected the csrutil command will hang awaiting input.
Configure SSHD ClientAliveCountMax to $ODV,true,3,integer: 0,os_sshd_client_alive_count_max_configure,If SSHD is enabled it _MUST_ be configured with the Client Alive Maximum Count set to $ODV.This will set the number of client alive messages which may be sent without the SSH server receiving any messages back from the client.  If this threshold is reached while client alive messages are being sent the SSH server will disconnect the client terminating the session.  The client alive messages are sent through the encrypted channel and therefore will not be spoofable.  The client alive mechanism is valuable when the client or server depend on knowing when a connection has become unresponsive.NOTE: This setting is not intended to manage idle user sessions where there is no input from the client. Its purpose is to monitor for interruptions in network connectivity and force the session to terminate after the connection appears to be broken.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Disable Privacy Setup Services During Setup Assistant,true,null,string: true,os_privacy_setup_prompt_disable,The prompt for Privacy Setup services during Setup Assistant _MUST_ be disabled.Organizations _MUST_ apply organization-wide configuration settings. The macOS Privacy Setup services prompt guides new users through enabling their own specific privacy settings; this is not essential and therefore _MUST_ be disabled to prevent against the risk of individuals electing privacy settings with the potential to override organization-wide settings.
Configure Sudo To Log Events,true,0,integer: 1,os_sudo_log_enforce,Sudo _MUST_ be configured to log privilege escalation.
Disable Unix-to-Unix Copy Protocol Service,true,0,integer: 1,os_uucp_disable,The system _MUST_ not have the Unix-to-Unix Copy Protocol (UUCP) service active.UUCP a set of programs that enable the sending of files between different UNIX systems as well as sending commands to be executed on another system is not essential and _MUST_ be disabled in order to prevent the unauthorized connection of devices transfer of information and tunneling.NOTE: UUCP service is disabled at startup by default macOS.
Disable Burn Support,true,0,integer: 2,os_burn_support_disable,Burn support _MUST_ be disabled.[IMPORTANT]====Some organizations rely on the use of removable media for storing and sharing data. Information System Security Officers (ISSOs) may make the risk-based decision not to disable external hard drives to avoid losing this functionality but they are advised to first fully weigh the potential risks posed to their organization.====
Display Policy Banner at Login Window,true,0,integer: 1,os_policy_banner_loginwindow_enforce,Displaying a standardized and approved use notification before granting access to the operating system ensures that users are provided with privacy and security notification verbiage that is consistent with applicable federal laws Executive Orders directives policies regulations standards and guidance.System use notifications are required only for access via login interfaces with human users and are not required when such human interfaces do not exist.The policy banner will show if a "PolicyBanner.rtf" or "PolicyBanner.rtfd" exists in the "/Library/Security" folder.The banner text of the document _MUST_ read:[sourcetext]----$ODV----
Disable Apple Intelligence Writing Tools,true,null,string: false,os_writing_tools_disable,Apple Intelligence features such as writing tools that use off device AI _MUST_ be disabled.
Disable User Ability from Being Able to Undo Rapid Security Responses,true,null,string: false,os_rapid_security_response_removal_disable,Rapid security response (RSR) mechanism _MUST_ be enabled and the ability for the user to disable RSR _MUST_ be disabled.
Disable TouchID Prompt during Setup Assistant,true,null,string: true,os_touchid_prompt_disable,The prompt for TouchID during Setup Assistant _MUST_ be disabled.macOS prompts new users through enabling TouchID during Setup Assistant; this is not essential and therefore _MUST_ be disabled to prevent against the risk of individuals electing to enable TouchID to override organization-wide settings.
Disable FileVault Automatic Login,true,null,string: true,os_filevault_autologin_disable,If FileVault is enabled automatic login _MUST_ be disabled so that both FileVault and login window authentication are required.The default behavior of macOS when FileVault is enabled is to automatically log in to the computer once successfully passing your FileVault credentials.NOTE: DisableFDEAutoLogin does not have to be set on Apple Silicon based macOS systems that are smartcard enforced as smartcards are available at pre-boot.
Disable Screen Time Prompt During Setup Assistant,true,null,string: true,os_skip_screen_time_prompt_enable,The prompt for Screen Time setup during Setup Assistant _MUST_ be disabled.
Disable Installation of Configuration Profiles through the User Interface,true,null,string: false,os_config_profile_ui_install_disable,Installation of configuration profiles through the user interface _MUST_ be disabled and only be permitted through an authorized MDM server.
Disable Genmoji AI Creation,true,null,string: false,os_genmoji_disable,Apple Intelligence features such as Genmoji that use off device AI _MUST_ be disabled.
Disable AirDrop,true,null,string: false,os_airdrop_disable,AirDrop _MUST_ be disabled to prevent file transfers to or from unauthorized devices.AirDrop allows users to share and receive files from other nearby Apple devices.
Configure Sudoers Timestamp Type,false,tty,string: tty,os_sudoers_timestamp_type_configure,The file /etc/sudoers _MUST_ be configured to not include a timestamp_type of global or ppid and be configured for timestamp record types of tty.This rule ensures that the "sudo" command will prompt for the administrator's password at least once in each newly opened terminal window. This prevents a malicious user from taking advantage of an unlocked computer or an abandoned logon session by bypassing the normal password prompt requirement.
Set SSH Active Server Alive Maximum to $ODV,true,fail,string: pass,os_ssh_server_alive_count_max_configure,SSH _MUST_ be configured with an Active Server Alive Maximum Count set to $ODV. Terminating an idle session within a short time period reduces the window of opportunity for unauthorized personnel to take control of a management session enabled on the console or console port that has been left unattended. In addition quickly terminating an idle session or an incomplete login attempt will also free up resources committed by the managed network element.NOTE: /etc/ssh/ssh_config will be automatically modified to its original state following any update or major upgrade to the operating system.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Disable Network File System Service,true,fail,string: pass,os_nfsd_disable,Support for Network File Systems (NFS) services is non-essential and therefore _MUST_ be disabled.
Disable AppleID and Internet Account Modifications,true,null,string: false,os_account_modification_disable,The system _MUST_ disable account modification. Account modification includes adding additional or modifying internet accounts in Apple Mail Calendar Contacts in the Internet Account System Setting Pane or the AppleID System Setting Pane.This prevents the addition of unauthorized accounts.[IMPORTANT]====Some organizations may allow the use and configuration of the built-in Mail.app Calendar.app and Contacts.app for organizational communication. Information System Security Officers (ISSOs) may make the risk-based decision not to disable the Internet Accounts System Preference pane to avoid losing this functionality but they are advised to first fully weigh the potential risks posed to their organization.====
Disable the Built-in Web Server,false,PASS,string: PASS,os_httpd_disable,The built-in web server is a non-essential service built into macOS and _MUST_ be disabled.NOTE: The built in web server service is disabled at startup by default macOS.
Enable Recovery Lock,true,0,integer: 1,os_recovery_lock_enable,A recovery lock password _MUST_ be enabled and set.Single user mode recovery mode the Startup Manager and several other tools are available on macOS by holding down specific key combinations during startup. Setting a recovery lock restricts access to these tools.IMPORTANT: Recovery lock passwords are not supported on Intel devices. This rule is only applicable to Apple Silicon devices.
Enable Gatekeeper,true,null,string: true,os_gatekeeper_enable,Gatekeeper _MUST_ be enabled.Gatekeeper is a security feature that ensures that applications are digitally signed by an Apple-issued certificate before they are permitted to run. Digital signatures allow the macOS host to verify that the application has not been modified by a malicious third party.Administrator users will still have the option to override these settings on a case-by-case basis.
Ensure System Integrity Protection is Enabled,false,1,integer: 1,os_sip_enable,System Integrity Protection (SIP) _MUST_ be enabled.SIP is vital to protecting the integrity of the system as it prevents malicious users and software from making unauthorized and/or unintended modifications to protected files and folders; ensures the presence of an audit record generation capability for defined auditable events for all operating system components; protects audit tools from unauthorized access modification and deletion; restricts the root user account and limits the actions that the root user can perform on protected parts of the macOS; and prevents non-privileged users from granting other users direct access to the contents of their home directories and folders.NOTE: SIP is enabled by default in macOS.
Disable Dictation,false,null,string: false,os_dictation_disable,Dictation _MUST_ be disabled on Intel based Macs as the feature On Device Dictation is only available on Apple Silicon devices.
Display Policy Banner at Remote Login,true,0,integer: 1,os_policy_banner_ssh_configure,Remote login service _MUST_ be configured to display a policy banner at login.Displaying a standardized and approved use notification before granting access to the operating system ensures that users are provided with privacy and security notification verbiage that is consistent with applicable federal laws Executive Orders directives policies regulations standards and guidance.System use notifications are required only for access via login interfaces with human users and are not required when such human interfaces do not exist.
Enable Time Synchronization Daemon,false,1,integer: 1,os_time_server_enabled,The macOS time synchronization daemon (timed) _MUST_ be enabled for proper time synchronization to an authorized time server.NOTE: The time synchronization daemon is enabled by default on macOS.
Disable Login to Other User's Active and Locked Sessions,true,FAIL,string: PASS,os_unlock_active_user_session_disable,The ability to log in to another user's active or locked session _MUST_ be disabled.macOS has a privilege that can be granted to any user that will allow that user to unlock active user's sessions. Disabling the admins and/or user's ability to log into another user's active and locked session prevents unauthorized persons from viewing potentially sensitive and/or personal information.NOTE: Configuring this setting will change the user experience and disable TouchID from unlocking the screensaver. A configuration profile will be generated to include the setting that restores the expected behavior. You can also apply the settings using `/usr/bin/sudo /usr/bin/defaults write /Library/Preferences/com.apple.loginwindow screenUnlockMode -int 1`.WARNING: This rule may cause issues when platformSSO is configured. 
Disable Siri Setup during Setup Assistant,true,null,string: true,os_siri_prompt_disable,The prompt for Siri during Setup Assistant _MUST_ be disabled.Organizations _MUST_ apply organization-wide configuration settings. The macOS Siri Assistant Setup prompt guides new users through enabling their own specific Siri settings; this is not essential and therefore _MUST_ be disabled to prevent against the risk of individuals electing Siri settings with the potential to override organization-wide settings.
Disable Apple ID Setup during Setup Assistant,true,null,string: true,os_appleid_prompt_disable,The prompt for Apple ID setup during Setup Assistant _MUST_ be disabled.macOS will automatically prompt new users to set up an Apple ID while they are going through Setup Assistant if this is not disabled misleading new users to think they need to create Apple ID accounts upon their first login.
Disable Unlock with Apple Watch During Setup Assistant,true,null,string: true,os_skip_unlock_with_watch_enable,The prompt for Apple Watch unlock setup during Setup Assistant _MUST_ be disabled.Disabling Apple watches is a necessary step to ensuring that the information system retains a session lock until the user reestablishes access using an authorized identification and authentication procedures.
Disable Apple Intelligence Safari Reader Summary,true,null,string: false,os_safari_reader_summary_disable,Apple Intelligence features such as Safari Reader Summary that use off device AI _MUST_ be disabled.
Secure User's Home Folders,true,1,integer: 0,os_home_folders_secure,The system _MUST_ be configured to prevent access to other user's home folders.The default behavior of macOS is to allow all valid users access to the top level of every other user's home folder while restricting access only to the Apple default folders within.
Enforce On Device Dictation,true,null,string: true,os_on_device_dictation_enforce,Dictation _MUST_ be restricted to on device only to prevent potential data exfiltration.The information system _MUST_ be configured to provide only essential capabilities.IMPORTANT: This rule only applies to Apple Silicon devices.
Disable iCloud Storage Setup during Setup Assistant,true,null,string: true,os_icloud_storage_prompt_disable,The prompt to set up iCloud storage services during Setup Assistant _MUST_ be disabled.The default behavior of macOS is to prompt new users to set up storage in iCloud. Disabling the iCloud storage setup prompt provides organizations more control over the storage of their data.
Disable Erase Content and Settings,true,null,string: false,os_erase_content_and_settings_disable,Erase Content and Settings _MUST_ be disabled.
Disable Infrared (IR) support,true,true,string: false,os_ir_support_disable,Infrared (IR) support _MUST_ be disabled to prevent users from controlling the system with IR devices.By default if IR is enabled the system will accept IR control from any remote device.NOTE: This is applicable only to models of Mac Mini systems earlier than Mac Mini81.
Configure SSHD Channel Timeout to $ODV,true,none,string: session:*=900,os_sshd_channel_timeout_configure,If SSHD is enabled it _MUST_ be configured with session ChannelTime out set to $ODV.This will set the time out when the session is inactive.NOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.NOTE: On macOS 15.2 and higher the SSH configuration can be reset to the macOS default by running /usr/libexec/reset-ssh-configuration.
Disable Bonjour Multicast,true,null,string: true,os_bonjour_disable,Bonjour multicast advertising _MUST_ be disabled to prevent the system from broadcasting its presence and available services over network interfaces.
